CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS
ANTH 157 (50014),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 01:00 PM - 2:05pm,DOWD 208,TBA,5.00
ANTH 157 (50014),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 01:00 PM - 2:05pm,DOWD 208,TBA,5.00
ANTH 157 (50014),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 01:00 PM - 2:05pm,DOWD 208,TBA,5.00
ANTH 157 (50014),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 01:00 PM - 2:05pm,DOWD 208,TBA,5.00
ANTH 157 (50014),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 01:00 PM - 2:05pm,DOWD 208,TBA,5.00
ANTH 157 (50014),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 01:00 PM - 2:05pm,DOWD 208,TBA,5.00
ANTH 157 (50014),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 01:00 PM - 2:05pm,DOWD 208,TBA,5.00
ANTH 170 (50016),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,VARI 134,TBA,5.00
ANTH 170 (50016),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,VARI 134,TBA,5.00
ANTH 170 (50016),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,VARI 134,TBA,5.00
ANTH 170 (50016),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,VARI 134,TBA,5.00
ANTH 170 (50016),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,VARI 134,TBA,5.00
ANTH 170 (50016),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,VARI 134,TBA,5.00
ANTH 170 (50016),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,VARI 134,TBA,5.00
