CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS
ENGL 69A (46081),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ENGL 69A (46081),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ENGL 69A (46081),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ENGL 69A (46081),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ENGL 69A (46081),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ENGL 69A (46081),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ENGL 69A (46081),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ETHN 69 (46085),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ETHN 69 (46085),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ETHN 69 (46085),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ETHN 69 (46085),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ETHN 69 (46085),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ETHN 69 (46085),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ETHN 69 (46085),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:20 AM - 1:21am,ONLINE,"Griffin, Allia Ida",4.00
ETHN 96 (46023),"Race,Class & Culture thru Film","American Studies (Pathway), Cinema Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:32 AM - 1:33am,ONLINE,"Fernandez, Jesica Siham",4.00
ETHN 96 (46023),"Race,Class & Culture thru Film","American Studies (Pathway), Cinema Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:32 AM - 1:33am,ONLINE,"Fernandez, Jesica Siham",4.00
ETHN 96 (46023),"Race,Class & Culture thru Film","American Studies (Pathway), Cinema Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:32 AM - 1:33am,ONLINE,"Fernandez, Jesica Siham",4.00
ETHN 96 (46023),"Race,Class & Culture thru Film","American Studies (Pathway), Cinema Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:32 AM - 1:33am,ONLINE,"Fernandez, Jesica Siham",4.00
ETHN 96 (46023),"Race,Class & Culture thru Film","American Studies (Pathway), Cinema Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:32 AM - 1:33am,ONLINE,"Fernandez, Jesica Siham",4.00
ETHN 96 (46023),"Race,Class & Culture thru Film","American Studies (Pathway), Cinema Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:32 AM - 1:33am,ONLINE,"Fernandez, Jesica Siham",4.00
ETHN 96 (46023),"Race,Class & Culture thru Film","American Studies (Pathway), Cinema Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:32 AM - 1:33am,ONLINE,"Fernandez, Jesica Siham",4.00
ETHN 152 (46024),Multi-Racial Identities,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:34 AM - 1:35am,ONLINE,"Nanda, Aparajita",5.00
ETHN 152 (46024),Multi-Racial Identities,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:34 AM - 1:35am,ONLINE,"Nanda, Aparajita",5.00
ETHN 152 (46024),Multi-Racial Identities,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:34 AM - 1:35am,ONLINE,"Nanda, Aparajita",5.00
ETHN 152 (46024),Multi-Racial Identities,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:34 AM - 1:35am,ONLINE,"Nanda, Aparajita",5.00
ETHN 152 (46024),Multi-Racial Identities,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:34 AM - 1:35am,ONLINE,"Nanda, Aparajita",5.00
